label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
2	1537 N	0.7578	Michael	FOOTBALL, GOLF	716	-0.0151	1446	0.8405	1444	COMPUTER SCIENCE	25	677	0.9256	885
2	518 N	1.2003	Lise	boxing, football	780	0.3967	880	1.369	-139	Data Science	570	913	1.489	307
0	724 N	1.0619	Chris	football	267	0.7153	561	0.6426	1046	Statistics	54	-39	0.1818	207
0	1291 N	1.4643	Chris	ice hockey, volleyball	518	0.323	242	0.9245	1609	Electrical Engineering	959	309	0.1943	-46
2	790 N	0.9887	Michael	tennis	829	0.5133	1554	1.278	229	Technology and Information Management	-44	652	0.7874	618
3	929 N	0.6718	Chris	motor sports	-282	0.4869	1313	0.3668	-67	Bioinformatics	84	697	0.5073	721
1	1035 N	0.4499	Lise	boxing, golf	730	0.0458	877	1.2766	655	Bioengineering	1410	587	0.7468	206
3	1572 N	1.2817	Andrew	soccer	869	1.3961	236	-0.3347	-38	Computer Game Design	663	1027	1.1621	1417
0	1317 N	1.5681	Vani	ice hockey, track & field, badminton, running	-603	0.1448	-40	1.1443	1598	Natural Language Processing	1110	179	0.6677	1464
0	1270 N	1.2014	Chris	track & field	-87	0.5172	554	1.2519	1133	Statistics	695	389	0.6965	662
2	-337 N	0.5737	Inan	football, golf	468	-0.4903	154	1.3433	964	Data Science	-37	354	0.529	288
3	347 N	0.4818	Fabrice	tennis	647	1.3171	916	0.2909	-236	Bioinformatics	195	612	1.0746	893
0	1184 N	1.0355	Sam	running, track & field, ice hockey	-695	0.615	667	0.7204	1301	Biotechnology	722	112	0.328	1245
0	1069 N	0.7463	Vani	ice hockey, badminton, running, track & field	354	0.4818	1186	0.9869	649	Natural Language Processing	1274	500	0.5393	665
0	879 N	1.2296	Sam	ice hockey	415	0.2337	892	1.477	771	Computer Engineering	1089	-36	0.4254	14
0	981 N	0.5545	Chris	track & field, volleyball, ice hockey	403	0.0379	859	1.1986	724	Natural Language Processing	1293	58	0.7895	483
3	1163 N	0.4659	Andrew	tennis	435	1.779	407	1.6785	1045	Bioinformatics	-567	1020	0.8886	928
2	511 N	0.4854	Inan	golf, boxing	1622	0.5856	1007	0.3254	971	Computational Media	707	395	0.4675	1349
2	369 N	0.435	Inan	golf, football	1237	0.5328	671	0.0465	750	Games And Playable Media	118	-86	0.5693	1091
2	727 N	None	Michael	boxing	1317	0.332	583	0.7512	944	Computational Media	172	485	0.6007	1404
2	-31 N	0.8581	Michael	football	1200	0.9211	950	1.7667	922	Games and Playable Media	657	681	0.8977	342
2	-93 N	1.1927	mICHAEL	golf, boxing	626	0.2019	385	1.7765	953	Data Science	-47	178	0.3228	-502
0	579 N	1.4257	Vani	badminton, running, ice hockey, volleyball	172	0.5584	273	1.0029	727	Electrical Engineering	813	-56	0.3999	530
1	1348 N	0.2657	Reilly	soccer	1484	0.4982	71	0.8549	400	Bioengineering	1056	831	0.9494	308
3	n/a	0.4516	Andrew	football	519	0.1636	427	0.0848	593	Bioinformatics	981	-53	0.9025	1548
1	878 N	0.7173	Lise	basketball	1288	0.7246	245	0.9245	994	Bioengineering	842	949	1.5222	-53
1	598 N	-0.6775	Tony	motor sports, baseball	379	0.5637	-115	0.836	565	Human Computer Interaction	911	823	0.2375	541
3	1181 N	0.1049	Andrew	soccer	400	0.4227	n/a	0.0729	-298	Bioinformatics	615	959	1.3653	951
0	683 N	0.4336	Vani	VOLLEYBALL, TRACK & FIELD, RUNNING	26	-0.2543	1358	0.4226	1488	Electrical Engineering	545	419	0.0876	474
0	385 N	1.568	Vani	ice hockey, track & field	795	0.2826	1408	0.3086	1010	Computer Engineering	None	265	-0.1829	978
3	780 N	0.6986	Fabrice	motor sports, baseball	361	0.7947	1300	0.7462	431	Computer Game Design	444	377	0.633	906
2	1320 N	0.9435	Inan	boxing, golf	1033	0.2377	949	0.9687	800	Games and Playable Media	-144	200	0.6077	634
1	1115 N	0.5129	Reilly	football, golf	473	1.0411	296	1.0471	184	Bioengineering	297	334	0.7834	-258
2	274 N	1.4037	Inan	boxing, football	893	0.6002	913	1.4163	506	Computational Media	-241	846	0.1564	-62
2	861 N	0.7221	Inan	?	866	0.6087	495	1.1398	1235	Computational Media	-651	1011	0.7183	1008
2	16 N	1.1241	Michael	boxing	1101	0.4618	279	0.5664	1165	Computational Media	-216	881	1.0645	545
3	806 N	0.9463	Fabrice	tennis	432	?	201	0.3995		n/a	430	457	0.7692	1862
2	809 N	0.7853	Michael	golf, boxing	931	0.2749	1668	1.1642	440	Data Science	150	1017	1.836	659
2	867 N	1.5672	Michael	soccer	1107	1.0768	-181	1.2786	757	Data Science	-115	363	0.3056	30
0	950 N	1.1956	Sam	volleyball, badminton, ice hockey, running	-171	0.8693	667	0.4298	655	Biotechnology	918	583	0.4074	-367
3	688 N	0.1376	Fabrice	tennis	482	1.3163	928	0.1621	-21	Computer Game Design	26	978	0.8941	524
1	931 N	0.0631	Lise	basketball, baseball	659	0.4628	317	0.4687	220	Applied Mathematics	783	944	1.1139	497
3	1241 N	0.7428	Andrew	Tennis	586	0.7739	1211	-0.1628	-542	Computer Game Design	260	1199	1.235	42
3	183 N	0.5502	Andrew	?	350	0.921	1727	1.1944	-68	n/a	1258	358	1.2549	1139
3	954 N	0.4442	Fabrice	soccer	-394	0.7518	954	0.4784	23	Computer Game Design	697	833	0.498	982
2	458 N	1.4833	Michael	football	969	0.4639	1099	1.143	801	Computer Science	581	627	1.0356	799
3	533 N	0.8166	Chris	Tennis	431	1.0322	358	0.2181	110	Bioinformatics	754	587	0.2636	1137
1	329 N	-0.1321	Lise	basketball, motor sports	901	0.5867	546	0.6383	-272	Bioengineering	1628	1006	1.4114	430
0	850 N	0.2476	Vani	badminton, track & field	908	0.3965	279	1.2124	1417	Technology and Information Management	588	488	0.9464	542
1	1044 N	None	Reilly	tennis	1146	0.6027	-4	1.307	934	Applied Mathematics	820	944	1.5062	-372
1	1477 N	-0.2996	Reilly	baseball	886	0.5987	-260	0.5696	276	Bioengineering	408	486	1.1304	-166
1	1535 N	0.3887	Eriq	motor sports	843	0.5247	-15	1.1108	202	Human Computer Interaction	565	220	1.0995	880
0	1894 N	0.9272	Sam	running, badminton	-179	0.121	141	0.4589	1003	Natural Language Processing	1780	-293	-0.0073	740
0	661 N	0.4753	Vani	soccer	-124	1.028	-168	-0.2762	797	Electrical Engineering	677	-161	0.0515	717
2	670 N	1.2419	Inan	soccer	774	0.4622	310	0.2565	1126	Games and Playable Media	95	833	0.9315	N/A
0	1197 N	0.4306	Vani	badminton, ice hockey	614	-0.0366	290	1.5506	22	Natural Language Processing	97	-189	1.1407	958
3	810 N	0.716	Fabrice	soccer	-176	1.1516	688	0.1849	57	Bioinformatics	1197	832	0.4325	543
3	1282 N	0.4647	Andrew	tennis	-100	0.2712	684	0.7494	233	Computer Game Design	-355	765	0.0593	1917
3	548 N	0.1306	Andrew	boxing	-209	0.6078	1631	0.1983	-67	Computer Game Design	236	430	0.5913	595
2	246 N	0.0456	Inan	ice hockey, badminton, running, volleyball	953	0.364	1431	0.1627	559	Games and Playable Media	37	n/a	0.5139	908
1	256 N	-0.4613	Inan	basketball	-263	0.4974	26	0.952	-29	Human Computer Interaction	815	968	1.0372	-730
0	800 N	0.476	Sam	BADMINTON, RUNNING, TRACK & FIELD	241	-0.3736	1263	0.4555	856	Robotics Engineering	-172	323	0.1537	1454
3	390 N	0.1424	Michael	soccer	-664	0.8829	653	1.0811	622	Bioinformatics	299	1605	0.9835	106
0	1546 N	1.4235	Sam	badminton, volleyball, track & field, running	-47	0.473	1017	1.5192	1097	Robotics Engineering	386	416	0.2341	1641
3	629 N	1.4961	Andrew	tennis	127	1.4097	682	0.4152	217	Bioinformatics	460	327	0.7951	715
2	510 N	1.1917	Inan	football	1353	0.3022	837	1.1311	1112	Technology and Information Management	-19	-101	0.8966	252
3	1053 N	0.2858	Fabrice	soccer	324	1.1419	1214	0.3997	-448	Computer Game Design	668	307	1.3949	873
2	586 N	1.1338	Michael	tennis	990	1.1906	1363	0.6443	1521	Technology and Information Management	472	1012	1.5083	411
3	1335 N	1.2733	Fabrice	golf, football	486	0.4809	1338	0.4284	-882	Bioinformatics	-305	1042	0.2874	1244
1	1672 N	-0.1763	Tony	basketball	932	0.3214	508	1.1019	-506	Applied Mathematics	700	801	-0.1059	172
0	844 N	0.8712	Sam	ice hockey, badminton	-177	-0.2448	155	1.0221	589	Biotechnology	786	368	-0.1805	873
0	452 N	1.0944	Vani	soccer	-132		934	1.7591	598	Robotics Engineering	556	487	0.4439	654
2	-636 N	0.2376	Michael	golf, football	1247	0.4395	999	1.739	665	Technology and Information Management	278	11	0.864	1077
1	1424 N	1.6248	Vani	baseball, motor sports	261	0.8833	-3	1.1068	248	Applied Mathematics	1117	1032	0.8643	874
1	1171 N	-0.2202	Tony	motor sports, baseball	559	-0.0249	593	0.4884	830	Applied Mathematics	789	889	-0.0238	477
1	1122 N	0.6288	Tony	soccer	424	-0.0602	861	0.5735	20	Bioengineering	-141	1142	1.0097	-308
0	591 N	0.8557	Sam	badminton	-153	0.3122	3	1.1974	478	Computational Media	1057	-373	0.5326	641
0	611 N	-0.112	Chris	running, track & field, badminton	654	0.5411	927	0.9249	524	Natural Language Processing	1247	413	-0.3214	726
2	235 N	1.3435	Michael	boxing, golf	-326	-0.241	n/a	1.2656	421	Computer Science	12	1158	1.968	-155
0	175 N	0.5747	Vani	track & field	-188	0.8079	770	1.4997	771	Electrical Engineering	1157	93	1.4668	None
3	1552 N	0.6443	Fabrice	soccer	330	1.1256	1440	0.5589	106	Computer Game Design	265	852	0.8702	544
0	1567 N	1.3505	Vani	running, volleyball, ice hockey	259	0.759	904	0.8545	1322	Natural Language Processing	380	61	0.0033	1379
0	1245 N	1.2505	Vani	track & field, ice hockey	-677	-0.4925	1329	1.308	660	Computer Engineering	809	263	1.193	539
3	-380 N	0.4461	Fabrice	golf, football	-315	0.8379	715	1.2452	360	Bioinformatics	414	690	1.6052	479
2	738 N	1.1126	Fabrice	football	733	0.6968	253	0.5627	823	Data Science	570	212	0.4853	784
2	249 N	1.7672	Inan	GOLF	1041	0.0581	731	-0.2732	619	Technology and Information Management	206	974	1.2843	739
2	68 N	0.5729	Michael	football, golf	1239	1.1355	1338	1.3155	622	Games and Playable Media	256	478	0.6426	478
0	1003 N	0.2077	Sam	running, badminton	147	0.7134	671	?	1069	Statistics	985	117	-0.0628	883
0	365 N	1.2086	Fabrice	ice hockey, badminton, running	935	1.1297	1332	0.9259	1509	Statistics	1344	272	0.4924	204
2	-471 N	0.264	Inan	boxing	629	0.5121	1348	1.3164	745	Games and Playable Media	-44	1044	0.4042	126
1	1347 N	0.7339	Lise	baseball	615	-0.1287	510	0.8225	459	Bioengineering	1404	414	0.7056	-456
1	1133 N	0.5463	Lise	basketball	601	0.3143	276	0.7477	439	Human Computer Interaction	1285	892	1.8216	693
0	-589 N	0.4417	Sam	running, ice hockey, badminton, track & field	-738	-0.2991	931	0.5149	1351	Computer Engineering	728	-652	0.8342	798
1	845 N	0.5459	Eriq	basketball	1255	-0.1389	308	1.0268	627	Applied Mathematics	1565	1138	1.0595	-178
1	203 N	0.9903	Chris	baseball, basketball	1150	0.3339	-229	0.5782	913	Bioengineering	266	1002	1.0236	806
